layer,source,competition_instance,family,benchmark_path,best_known_name,n_operations,n_jobs,n_machines,n_workers,flexibility,duration_variety,lb,ub,is_optimal_known,reference_best,reference_avg,current_best,current_avg,in_competition30,selection_reason
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke42.fjs,BehnkeGeiger42,50,10,60,90,0.1361,0.000680327645794,80,80,true,80,82,80,80,true,official_competition_instance
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke46.fjs,BehnkeGeiger46,100,20,60,90,0.133616666667,0.000346485939601,110,110,true,108,111.4,108,108,true,official_competition_instance
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,instances\Example_Instances_FJSSP-WF\Behnke60.fjs,BehnkeGeiger60,500,100,60,90,0.148918888889,6.21765266203e-05,491,491,true,403,419.6,401,402,true,official_competition_instance
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk12.fjs,Brandimarte12,193,30,10,15,0.0784110535406,0.0105726872247,479,479,true,471,471,471,471,true,official_competition_instance
layer1_competition30,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk14.fjs,Brandimarte14,277,30,15,22,0.0524559676184,0.00500521376434,640,640,true,640,640,640,640,true,official_competition_instance
layer1_competition30,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,instances\Example_Instances_FJSSP-WF\BrandimarteMk7.fjs,Brandimarte7,100,20,5,7,0.313428571429,0.0191431175934,143,143,true,140,142.2,140,140,true,official_competition_instance
layer1_competition30,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata18.fjs,Hurinksdata18,100,20,5,7,0.117714285714,0.240291262136,1179,1179,true,1138,1138,1138,1138,true,official_competition_instance
layer1_competition30,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata1.fjs,Hurinksdata1,36,6,6,9,0.0946502057613,0.054347826087,52,52,true,52,52.4,52,52,true,official_competition_instance
layer1_competition30,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata38.fjs,Hurinksdata38,300,30,10,15,0.0532,0.0434419381788,2005,2005,true,1741,1768.7,1741,1741,true,official_competition_instance
layer1_competition30,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata40.fjs,Hurinksdata40,225,15,15,22,0.0352861952862,0.0396946564885,1640,1640,true,1373,1446,1373,1373,true,official_competition_instance
layer1_competition30,Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata54.fjs,Hurinksdata54,72,8,9,13,0.0610161443495,0.731517509728,7954,7954,true,8251,8808.1,8251,8251,true,official_competition_instance
layer1_competition30,Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata61.fjs,Hurinksdata61,100,10,10,15,0.0484,0.136363636364,1468,1468,true,874,914.8,874,874,true,official_competition_instance
layer1_competition30,Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,instances\Example_Instances_FJSSP-WF\Hurinksdata63.fjs,Hurinksdata63,99,10,10,15,0.0540740740741,0.0684931506849,605,605,true,382,395.6,382,382,true,official_competition_instance
layer1_competition30,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,instances\Example_Instances_FJSSP-WF\Hurinkedata1.fjs,Hurinkedata1,36,6,6,9,0.117283950617,0.0438596491228,51,51,true,51,51,51,51,true,official_competition_instance
layer1_competition30,Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,instances\Example_Instances_FJSSP-WF\Hurinkedata6.fjs,Hurinkedata6,50,10,5,7,0.138285714286,0.334710743802,601,601,true,544,551.7,544,544,true,official_competition_instance
layer1_competition30,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata28.fjs,Hurinkrdata28,150,15,10,15,0.112177777778,0.041204437401,909,909,true,789,811.9,784,787,true,official_competition_instance
layer1_competition30,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata38.fjs,Hurinkrdata38,300,30,10,15,0.108577777778,0.0212853049529,1780,1780,true,1539,1556.8,1533,1536.6,true,official_competition_instance
layer1_competition30,Hurinkrdata50,2c_Hurink_rdata_50_workers,Hurink_rdata,instances\Example_Instances_FJSSP-WF\Hurinkrdata50.fjs,Hurinkrdata50,52,13,4,6,0.290064102564,0.734806629834,5791,5791,true,5697,5749.3,5697,5697,true,official_competition_instance
layer1_competition30,Hurinkvdata18,2d_Hurink_vdata_18_workers,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata18.fjs,Hurinkvdata18,100,20,5,7,0.300857142857,0.0987654320988,1827,1827,true,1041,1047.5,1036,1036,true,official_competition_instance
layer1_competition30,Hurinkvdata30,2d_Hurink_vdata_30_workers,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata30.fjs,Hurinkvdata30,200,20,10,15,0.247266666667,0.0141547586951,1178,1178,true,1075,1084.3,1064,1068.1,true,official_competition_instance
layer1_competition30,Hurinkvdata5,2d_Hurink_vdata_5_workers,Hurink_vdata,instances\Example_Instances_FJSSP-WF\Hurinkvdata5.fjs,Hurinkvdata5,50,10,5,7,0.332,0.163511187608,580,580,true,507,512.3,507,507,true,official_competition_instance
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli15.fjs,DPpaulli15,387,20,10,15,0.273092161929,0.00643411341702,2328,2328,true,2213,2241.1,2199,2208.9,true,official_competition_instance
layer1_competition30,DPpaulli18,3_DPpaulli_18_workers,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli18.fjs,DPpaulli18,387,20,10,15,0.261981050818,0.00650973172015,2305,2305,true,2215,2242,2204,2210.6,true,official_competition_instance
layer1_competition30,DPpaulli1,3_DPpaulli_1_workers,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli1.fjs,DPpaulli1,196,10,5,7,0.131632653061,0.108527131783,2728,2728,true,2482,2528,2480,2481.8,true,official_competition_instance
layer1_competition30,DPpaulli9,3_DPpaulli_9_workers,DPpaulli,instances\Example_Instances_FJSSP-WF\DPpaulli9.fjs,DPpaulli9,293,15,8,12,0.271437713311,0.0133595284872,2270,2270,true,2087,2099.2,2077,2083.5,true,official_competition_instance
layer1_competition30,ChambersBarnes10,4_ChambersBarnes_10_workers,ChambersBarnes,instances\Example_Instances_FJSSP-WF\ChambersBarnes10.fjs,ChambersBarnes10,150,15,13,19,0.0560863697706,0.0500481231954,949,949,true,884,918.2,884,884,true,official_competition_instance
layer1_competition30,Kacem3,5_Kacem_3_workers,Kacem,instances\Example_Instances_FJSSP-WF\Kacem3.fjs,Kacem3,30,10,10,15,0.529333333333,0.0100755667506,7,7,true,7,7,7,7,true,official_competition_instance
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,instances\Example_Instances_FJSSP-WF\Kacem4.fjs,Kacem4,56,15,10,15,0.538452380952,0.0145920848994,11,11,true,11,11.1,11,11,true,official_competition_instance
layer1_competition30,Fattahi14,6_Fattahi_14_workers,Fattahi,instances\Example_Instances_FJSSP-WF\Fattahi14.fjs,Fattahi14,21,7,7,10,0.203401360544,0.478260869565,538,538,true,546,570.6,543,544,true,official_competition_instance
layer1_competition30,Fattahi20,6_Fattahi_20_workers,Fattahi,instances\Example_Instances_FJSSP-WF\Fattahi20.fjs,Fattahi20,48,12,8,12,0.153862847222,0.306064880113,1208,1208,true,1155,1177.5,1153,1154.8,true,official_competition_instance
