layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1009,5,95,OK,0,5.538,0,80,"	3 2 w=26	
3	1 2 w=37	2 3 w=19	4 3 w=49	
0	
0	
3	8 1 w=33	0 2 w=86	0 3 w=12	
0	
0	
0	
3	2 1 w=30	6 1 w=41	7 3 w=31	
3	7 2 w=5	1 3 w=1	8 3 w=75	
0	
0	
0	
0	
0	
2	1 1 w=40	9 1 w=9	
0	
0	
0	
0	
0	
0	
0	
0	
0	
0	
2	3 1 w=0	5 2 w=55	
0	
0	
0	
3	8 2 w=41	4 2 w=3	9 3 w=35	
0	
3	2 2 w=11	4 1 w=21	3 3 w=86	
0	
0	
3	0 1 w=29	9 2 w=0	5 3 w=33	
0	
0	
0	
0	
0	
0	
2	6 2 w=68	6 3 w=49	
0	
0	
0	
0	
0	
0	
0	
0	
3	6 4 w=14	8 4 w=54	3 4 w=27	
2	1 4 w=10	5 4 w=31	
3	7 4 w=52	0 4 w=22	9 4 w=37	
2	2 4 w=70	4 4 w=14	
","Final solution: 95
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1009,5,135,OK,0,6.086,67,108," w=39	
0	
0	
4	18 1 w=20	0 1 w=40	0 2 w=9	4 2 w=84	
0	
0	
5	2 1 w=8	18 2 w=21	2 3 w=86	15 1 w=10	16 3 w=47	
0	
0	
0	
0	
5	14 1 w=59	11 1 w=11	5 3 w=67	15 2 w=13	17 3 w=8	
0	
0	
5	14 2 w=24	16 1 w=43	16 2 w=3	17 1 w=41	6 3 w=70	
0	
0	
4	9 1 w=14	13 3 w=79	1 1 w=60	1 2 w=6	
0	
2	5 2 w=56	18 3 w=41	
0	
6	9 4 w=1	5 4 w=72	2 4 w=22	10 4 w=56	3 4 w=62	7 4 w=29	
5	13 4 w=35	8 4 w=49	16 4 w=5	15 4 w=17	4 4 w=0	
3	18 4 w=14	11 4 w=48	17 4 w=57	
6	14 4 w=35	0 4 w=16	19 4 w=27	12 4 w=22	1 4 w=21	6 4 w=42	
","Final solution: 135
Schedule exported to ../../output.csv
"
layer1_competition30,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1009,5,,TIMEOUT,,35.019,74,431,,
