layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,1009,20,2732,OK,0,19.741,593,1471,"	8 1 w=11	10 0 w=11	8 3 w=13	13 2 w=10	2 0 w=10	1 4 w=3	13 4 w=7	27 2 w=11	21 3 w=7	9 5 w=0	16 3 w=12	5 8 w=0	4 3 w=13	25 3 w=14	26 2 w=3	0 6 w=14	11 3 w=14	8 6 w=7	21 5 w=1	12 5 w=0	3 8 w=0	29 5 w=14	15 6 w=8	25 9 w=2	4 9 w=3	26 5 w=0	19 6 w=7	26 7 w=6	22 7 w=4	28 9 w=9	
25	14 0 w=11	1 0 w=12	9 0 w=8	28 1 w=1	18 4 w=12	4 0 w=5	1 5 w=11	0 4 w=10	23 4 w=1	2 3 w=4	20 5 w=11	5 6 w=13	16 6 w=9	19 4 w=1	25 4 w=4	14 7 w=1	0 8 w=6	4 5 w=7	22 4 w=7	17 6 w=0	7 6 w=8	17 8 w=14	15 8 w=5	11 9 w=9	19 8 w=8	
","Final solution: 2732
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,1013,20,1967,OK,0,19.733,593,1471,"=6	2 0 w=11	8 1 w=6	22 1 w=13	21 3 w=7	16 3 w=7	16 4 w=12	12 2 w=7	4 3 w=13	7 3 w=8	12 3 w=12	21 5 w=1	4 7 w=10	26 5 w=0	29 5 w=14	26 7 w=11	12 5 w=7	13 4 w=0	14 9 w=9	3 8 w=7	4 9 w=5	21 8 w=1	22 7 w=3	15 4 w=13	15 5 w=1	
31	12 0 w=12	3 0 w=1	4 0 w=12	2 2 w=10	9 0 w=8	0 4 w=2	25 3 w=13	25 4 w=11	20 1 w=3	14 2 w=3	26 2 w=13	4 5 w=1	2 3 w=6	20 5 w=5	7 6 w=9	22 4 w=0	9 3 w=9	19 4 w=1	27 8 w=5	21 6 w=1	14 7 w=5	6 8 w=1	21 7 w=6	18 4 w=9	1 5 w=5	5 6 w=7	17 6 w=2	15 6 w=11	19 8 w=11	15 8 w=0	5 9 w=0	
","Final solution: 1967
Schedule exported to ../../output.csv
"
layer1_competition30,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,1019,20,2180,OK,0,19.744,593,1471,"	
27	25 0 w=10	8 1 w=9	10 0 w=1	4 3 w=13	21 3 w=7	2 2 w=1	6 3 w=0	15 4 w=5	12 3 w=12	13 2 w=6	15 5 w=11	16 3 w=3	13 4 w=13	15 6 w=8	25 9 w=2	12 5 w=9	26 7 w=14	8 5 w=8	26 8 w=6	18 5 w=5	8 6 w=3	1 4 w=12	0 6 w=7	22 7 w=8	14 9 w=12	11 6 w=7	4 9 w=5	
28	9 0 w=8	26 2 w=11	4 0 w=13	2 1 w=8	25 3 w=5	12 0 w=0	29 2 w=1	9 3 w=9	2 3 w=9	10 2 w=1	21 5 w=14	21 6 w=5	29 5 w=0	21 7 w=6	0 4 w=2	18 4 w=10	6 8 w=6	17 6 w=0	17 8 w=10	22 4 w=7	11 2 w=14	14 7 w=3	1 5 w=4	5 9 w=1	4 5 w=11	7 6 w=3	19 8 w=6	11 9 w=3	
","Final solution: 2180
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1009,20,3176,OK,0,19.754,1221,2071,"5 16 w=2	19 8 w=2	17 10 w=6	11 11 w=12	8 10 w=2	2 14 w=6	16 11 w=8	8 14 w=0	16 13 w=13	11 16 w=13	8 18 w=9	6 9 w=9	
40	11 0 w=12	9 2 w=10	14 3 w=11	7 1 w=9	2 3 w=13	18 3 w=7	6 3 w=14	1 3 w=14	14 8 w=10	18 8 w=14	12 3 w=3	8 6 w=8	4 8 w=14	0 11 w=0	1 6 w=4	0 12 w=0	13 11 w=14	2 10 w=12	13 12 w=12	19 2 w=14	15 15 w=8	5 6 w=10	16 9 w=11	10 12 w=0	12 9 w=12	8 9 w=11	10 14 w=0	11 9 w=11	14 19 w=1	5 12 w=7	10 16 w=1	13 14 w=2	11 14 w=3	6 4 w=1	7 18 w=8	11 15 w=4	6 6 w=2	16 14 w=14	19 15 w=10	7 24 w=9	
","Final solution: 3176
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1013,20,3085,OK,0,19.760,1221,2071," w=0	18 15 w=0	15 14 w=4	4 9 w=7	17 16 w=14	12 8 w=9	2 17 w=2	7 17 w=14	11 11 w=8	10 11 w=7	9 11 w=0	12 13 w=8	11 13 w=12	6 9 w=9	10 16 w=3	1 17 w=6	12 14 w=8	4 15 w=10	11 16 w=13	
34	14 1 w=0	9 2 w=8	7 1 w=9	8 1 w=0	0 1 w=3	15 2 w=5	17 8 w=2	8 5 w=5	10 1 w=9	16 7 w=9	16 8 w=9	18 5 w=10	7 10 w=3	14 7 w=12	6 4 w=13	19 7 w=1	6 6 w=7	9 5 w=0	13 11 w=7	15 12 w=4	17 13 w=13	0 11 w=1	8 9 w=10	2 14 w=10	1 9 w=0	3 14 w=10	10 12 w=14	7 21 w=12	11 12 w=0	5 12 w=8	19 15 w=10	11 14 w=3	9 17 w=12	4 19 w=13	
","Final solution: 3085
Schedule exported to ../../output.csv
"
layer1_competition30,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1019,20,3127,OK,0,19.754,1221,2071,"w=3	9 7 w=2	10 6 w=2	19 11 w=5	5 6 w=11	7 10 w=13	14 14 w=1	5 8 w=1	7 13 w=1	2 14 w=0	3 14 w=4	3 15 w=7	11 11 w=6	15 16 w=7	13 12 w=14	11 13 w=12	17 10 w=14	5 14 w=1	11 16 w=13	
35	11 0 w=13	0 0 w=5	0 1 w=5	2 2 w=2	8 1 w=7	16 2 w=4	10 1 w=7	15 2 w=5	16 4 w=6	8 4 w=9	13 6 w=7	9 3 w=4	1 7 w=7	11 10 w=7	14 7 w=4	1 9 w=10	18 7 w=14	18 8 w=7	16 14 w=10	9 9 w=9	2 11 w=3	4 12 w=12	0 11 w=8	0 12 w=0	14 19 w=3	1 14 w=12	1 15 w=2	3 16 w=9	17 7 w=8	6 6 w=1	7 18 w=6	9 13 w=12	17 15 w=10	11 19 w=3	2 22 w=1	
","Final solution: 3127
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1009,20,12,OK,0,19.744,10,11,"=10	7 2 w=9	6 0 w=3	7 3 w=14	5 1 w=12	12 3 w=14	
6	13 0 w=0	0 1 w=11	4 2 w=4	14 3 w=8	6 1 w=4	9 3 w=0	
4	1 1 w=6	0 2 w=5	14 2 w=14	2 2 w=11	
5	1 0 w=12	4 1 w=8	5 0 w=8	4 3 w=6	8 3 w=10	
5	11 0 w=1	3 0 w=10	11 1 w=0	3 3 w=0	13 3 w=6	
6	10 0 w=5	10 1 w=4	14 1 w=3	3 1 w=12	3 2 w=10	0 3 w=2	
6	7 0 w=7	2 0 w=11	9 0 w=5	8 2 w=2	10 3 w=6	11 3 w=9	
5	14 0 w=2	7 1 w=2	13 2 w=1	9 1 w=4	1 3 w=1	
5	4 0 w=9	13 1 w=12	2 1 w=6	10 2 w=5	11 2 w=3	
7	8 0 w=6	12 0 w=13	1 2 w=7	12 1 w=13	12 2 w=1	9 2 w=9	2 3 w=12	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1013,20,12,OK,0,19.740,10,11,"8 1 w=12	13 0 w=14	7 2 w=8	7 3 w=14	5 1 w=10	
8	5 0 w=0	0 1 w=11	12 0 w=3	6 1 w=4	4 2 w=12	10 3 w=4	12 3 w=0	9 3 w=7	
5	8 0 w=6	14 1 w=10	10 2 w=8	14 2 w=1	2 2 w=1	
5	1 0 w=12	4 1 w=1	7 1 w=3	4 3 w=6	2 3 w=14	
5	3 0 w=11	3 1 w=7	11 1 w=6	14 3 w=3	13 3 w=13	
3	10 1 w=5	3 2 w=13	0 3 w=11	
6	10 0 w=1	9 0 w=8	2 0 w=11	7 0 w=0	8 2 w=13	11 3 w=12	
5	14 0 w=2	11 0 w=7	1 3 w=1	9 1 w=4	13 2 w=2	
5	4 0 w=4	0 2 w=2	2 1 w=5	13 1 w=0	11 2 w=10	
7	1 1 w=13	1 2 w=14	12 1 w=9	12 2 w=5	9 2 w=5	3 3 w=12	8 3 w=5	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1019,20,12,OK,0,19.740,10,11," 0 w=7	14 0 w=8	6 0 w=2	5 1 w=10	7 3 w=14	12 3 w=2	
6	12 0 w=14	5 0 w=8	0 1 w=0	9 3 w=7	2 2 w=0	14 3 w=0	
4	8 1 w=13	0 2 w=5	1 1 w=12	14 2 w=12	
4	1 0 w=12	7 2 w=9	1 3 w=4	2 3 w=14	
6	3 0 w=0	3 1 w=7	11 1 w=6	6 1 w=1	3 3 w=7	13 3 w=11	
5	10 1 w=7	4 1 w=14	3 2 w=0	11 2 w=9	4 3 w=12	
6	0 0 w=6	7 0 w=10	8 2 w=13	2 1 w=6	4 2 w=8	11 3 w=4	
5	11 0 w=1	9 1 w=4	2 0 w=0	13 2 w=5	8 3 w=5	
6	4 0 w=4	13 1 w=3	7 1 w=1	14 1 w=8	10 2 w=11	10 3 w=1	
7	8 0 w=5	9 0 w=3	12 1 w=9	9 2 w=10	12 2 w=3	1 2 w=4	0 3 w=3	
","Final solution: 12
Schedule exported to ../../output.csv
"
