key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,best_minus_lb,best_minus_ub,status
3_DPpaulli_15_workers,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,3,3,3531,3803,1221,2071,2310,1460,OK
3_DPpaulli_18_workers,DPpaulli18,3_DPpaulli_18_workers,DPpaulli,3,3,3657,3886,0,2069,3657,1588,OK
3_DPpaulli_9_workers,DPpaulli9,3_DPpaulli_9_workers,DPpaulli,3,3,2784,3165.667,1274,1968,1510,816,OK
5_Kacem_4_workers,Kacem4,5_Kacem_4_workers,Kacem,3,3,12,12.667,10,11,2,1,OK
6_Fattahi_20_workers,Fattahi20,6_Fattahi_20_workers,Fattahi,3,3,1260,1374,880,1147,380,113,OK
