source,runs,ok_runs,best,average,lb,ub,best_minus_lb,best_minus_ub,status
DPpaulli15,3,3,3679,3886.333,1221,2071,2458.0,1608.0,OK
Kacem4,3,3,12,12.667,10,11,2.0,1.0,OK
