layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1009,60,503,OK,0,59.762,146,471,"17 0 w=8	28 2 w=9	5 5 w=8	18 7 w=4	18 8 w=14	22 2 w=0	21 1 w=11	2 3 w=13	7 4 w=14	15 4 w=7	3 3 w=13	6 4 w=3	3 4 w=7	22 6 w=0	4 4 w=3	27 4 w=11	24 4 w=13	11 3 w=3	0 5 w=12	12 4 w=14	11 5 w=4	
13	25 0 w=11	1 1 w=10	14 0 w=11	0 1 w=10	18 3 w=14	9 2 w=7	3 1 w=13	24 1 w=13	29 3 w=8	10 2 w=0	6 3 w=14	26 0 w=12	2 5 w=3	
20	15 0 w=0	0 0 w=4	0 2 w=8	14 1 w=6	24 0 w=7	23 2 w=9	12 0 w=13	6 1 w=13	14 4 w=1	25 2 w=3	19 2 w=12	16 2 w=13	25 4 w=5	24 2 w=6	16 3 w=6	10 4 w=1	23 4 w=5	27 5 w=0	4 6 w=12	19 5 w=8	
","Final solution: 503
Schedule exported to ../../output.csv
"
layer1_competition30,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1013,60,497,OK,0,59.760,146,471," 4 w=13	17 0 w=12	8 3 w=10	10 1 w=5	22 2 w=2	2 3 w=13	24 4 w=14	12 4 w=14	11 5 w=4	0 5 w=7	5 5 w=10	6 4 w=5	4 4 w=2	15 4 w=10	7 4 w=2	27 4 w=7	18 7 w=4	22 6 w=1	18 8 w=5	20 6 w=7	
13	25 0 w=14	0 1 w=10	3 1 w=8	24 1 w=0	29 3 w=3	10 2 w=4	9 2 w=9	6 3 w=4	9 3 w=7	18 3 w=1	2 5 w=8	25 5 w=0	15 7 w=2	
22	0 0 w=0	0 2 w=6	15 0 w=9	12 0 w=13	16 2 w=3	14 1 w=6	25 2 w=14	24 2 w=6	23 2 w=0	6 1 w=2	16 3 w=6	23 4 w=3	19 2 w=12	25 3 w=5	25 4 w=5	26 2 w=3	14 3 w=14	1 5 w=8	19 5 w=3	14 4 w=14	27 5 w=13	4 6 w=2	
","Final solution: 497
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1009,60,11,OK,0,59.745,10,11,"	5 1 w=10	13 2 w=8	9 3 w=3	7 3 w=0	
7	12 0 w=10	10 0 w=4	0 1 w=11	2 2 w=14	6 1 w=5	10 3 w=0	12 3 w=13	
4	8 0 w=6	8 1 w=12	0 2 w=11	0 3 w=2	
6	1 0 w=12	5 0 w=8	4 2 w=1	7 2 w=13	2 3 w=14	1 3 w=6	
5	3 0 w=6	3 1 w=3	11 1 w=6	13 3 w=11	14 3 w=5	
5	4 1 w=0	3 2 w=2	10 1 w=7	14 1 w=5	14 2 w=4	
6	0 0 w=2	2 0 w=11	7 0 w=3	2 1 w=14	8 2 w=9	11 3 w=7	
5	11 0 w=7	14 0 w=9	9 1 w=0	7 1 w=10	4 3 w=12	
5	4 0 w=14	13 1 w=1	10 2 w=7	11 2 w=1	3 3 w=1	
7	9 0 w=3	1 1 w=13	1 2 w=5	12 1 w=13	9 2 w=12	12 2 w=8	8 3 w=10	
","Final solution: 11
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem4,5_Kacem_4_workers,Kacem,1013,60,12,OK,0,59.739,10,11,"=9	0 2 w=11	7 3 w=14	6 1 w=1	9 3 w=9	
6	2 0 w=4	0 1 w=0	12 0 w=8	2 2 w=4	0 3 w=10	12 3 w=7	
5	6 0 w=13	1 1 w=7	14 1 w=9	9 2 w=0	10 2 w=8	
7	1 0 w=12	7 1 w=2	7 2 w=13	1 3 w=5	5 0 w=8	4 3 w=6	2 3 w=14	
4	3 0 w=10	3 1 w=7	11 1 w=6	13 3 w=14	
6	9 0 w=3	3 2 w=10	4 1 w=1	14 2 w=4	10 1 w=2	14 3 w=5	
7	7 0 w=14	2 1 w=5	10 0 w=1	8 2 w=12	4 2 w=14	11 3 w=4	10 3 w=6	
5	11 0 w=6	14 0 w=0	9 1 w=0	13 2 w=5	5 1 w=12	
3	13 0 w=11	13 1 w=7	11 2 w=3	
7	8 0 w=1	4 0 w=14	1 2 w=5	12 1 w=13	12 2 w=6	3 3 w=0	8 3 w=3	
","Final solution: 12
Schedule exported to ../../output.csv
"
layer1_competition30,Fattahi20,6_Fattahi_20_workers,Fattahi,1009,60,1223,OK,0,59.746,880,1147,"makespan=1223
4	3 0 w=7	4 0 w=1	1 0 w=7	0 0 w=2	
5	2 0 w=1	11 0 w=4	8 0 w=8	1 1 w=8	5 0 w=1	
6	6 0 w=3	6 1 w=9	10 0 w=0	11 1 w=9	8 1 w=3	5 1 w=6	
7	9 0 w=5	7 0 w=11	10 1 w=6	3 2 w=11	0 1 w=9	0 2 w=1	5 3 w=9	
7	3 1 w=10	2 2 w=7	4 2 w=3	7 1 w=10	1 3 w=0	5 2 w=11	6 3 w=4	
6	9 1 w=1	9 2 w=1	11 2 w=0	10 3 w=7	3 3 w=9	8 3 w=8	
8	2 1 w=7	4 1 w=3	6 2 w=3	10 2 w=9	1 2 w=6	8 2 w=10	7 2 w=8	7 3 w=2	
5	2 3 w=4	4 3 w=5	9 3 w=8	11 3 w=3	0 3 w=0	
","Final solution: 1223
Schedule exported to ../../output.csv
"
layer1_competition30,Fattahi20,6_Fattahi_20_workers,Fattahi,1013,60,1182,OK,0,59.753,880,1147,"makespan=1182
4	3 0 w=7	4 0 w=9	1 0 w=11	0 0 w=2	
5	2 0 w=1	11 0 w=4	1 1 w=9	5 0 w=8	10 0 w=10	
6	6 0 w=3	8 0 w=6	6 1 w=8	11 1 w=0	8 1 w=11	10 1 w=9	
7	7 0 w=11	9 0 w=7	3 2 w=4	5 1 w=0	0 1 w=0	0 2 w=7	5 3 w=9	
7	3 1 w=10	7 1 w=1	9 1 w=7	9 2 w=1	5 2 w=11	10 2 w=3	6 3 w=4	
7	2 2 w=2	4 2 w=5	1 2 w=3	7 2 w=3	3 3 w=5	8 3 w=8	10 3 w=6	
7	2 1 w=8	4 1 w=3	6 2 w=11	11 2 w=4	8 2 w=8	7 3 w=2	9 3 w=2	
5	2 3 w=6	4 3 w=5	1 3 w=6	11 3 w=10	0 3 w=0	
","Final solution: 1182
Schedule exported to ../../output.csv
"
