key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,reference_best,current_best,best_minus_lb,best_minus_ub,best_minus_reference,best_minus_current,status
Behnke24,Behnke24,,BehnkeGeiger,10,10,91,100.200,64,80,,,27,11,,,OK
Behnke25,Behnke25,,BehnkeGeiger,10,10,94,101.100,72,79,,,22,15,,,OK
Behnke26,Behnke26,,BehnkeGeiger,10,10,118,124.700,65,107,,,53,11,,,OK
Behnke27,Behnke27,,BehnkeGeiger,10,10,130,133.800,74,119,,,56,11,,,OK
Behnke28,Behnke28,,BehnkeGeiger,10,10,122,126.300,66,111,,,56,11,,,OK
Behnke29,Behnke29,,BehnkeGeiger,10,10,124,134.200,67,112,,,57,12,,,OK
Behnke3,Behnke3,,BehnkeGeiger,10,10,94,104.200,72,86,,,22,8,,,OK
Behnke30,Behnke30,,BehnkeGeiger,10,10,128,131.200,75,114,,,53,14,,,OK
Behnke31,Behnke31,,BehnkeGeiger,10,0,,,71,226,,,,,,,PARTIAL_OR_ERROR
Behnke32,Behnke32,,BehnkeGeiger,10,0,,,68,218,,,,,,,PARTIAL_OR_ERROR
Behnke33,Behnke33,,BehnkeGeiger,10,0,,,67,219,,,,,,,PARTIAL_OR_ERROR
Behnke34,Behnke34,,BehnkeGeiger,10,0,,,70,213,,,,,,,PARTIAL_OR_ERROR
Behnke35,Behnke35,,BehnkeGeiger,10,0,,,71,208,,,,,,,PARTIAL_OR_ERROR
Behnke36,Behnke36,,BehnkeGeiger,10,0,,,70,423,,,,,,,PARTIAL_OR_ERROR
Behnke37,Behnke37,,BehnkeGeiger,10,0,,,69,419,,,,,,,PARTIAL_OR_ERROR
Behnke38,Behnke38,,BehnkeGeiger,10,0,,,70,419,,,,,,,PARTIAL_OR_ERROR
Behnke39,Behnke39,,BehnkeGeiger,10,0,,,73,435,,,,,,,PARTIAL_OR_ERROR
Behnke4,Behnke4,,BehnkeGeiger,10,10,98,104,70,90,,,28,8,,,OK
Behnke40,Behnke40,,BehnkeGeiger,10,0,,,76,441,,,,,,,PARTIAL_OR_ERROR
Behnke41,Behnke41,,BehnkeGeiger,10,10,94,103.400,62,80,,,32,14,,,OK
Behnke43,Behnke43,,BehnkeGeiger,10,10,89,102.300,62,80,,,27,9,,,OK
Behnke44,Behnke44,,BehnkeGeiger,10,10,92,96.700,61,78,,,31,14,,,OK
Behnke45,Behnke45,,BehnkeGeiger,10,10,91,102.500,62,80,,,29,11,,,OK
Behnke47,Behnke47,,BehnkeGeiger,10,10,125,129.300,68,113,,,57,12,,,OK
Behnke48,Behnke48,,BehnkeGeiger,10,10,129,135.300,69,117,,,60,12,,,OK
Behnke49,Behnke49,,BehnkeGeiger,10,10,118,124.100,60,107,,,58,11,,,OK
Behnke5,Behnke5,,BehnkeGeiger,10,10,90,99.800,66,85,,,24,5,,,OK
Behnke50,Behnke50,,BehnkeGeiger,10,10,129,133.900,66,118,,,63,11,,,OK
Behnke51,Behnke51,,BehnkeGeiger,10,0,,,69,234,,,,,,,PARTIAL_OR_ERROR
Behnke52,Behnke52,,BehnkeGeiger,10,0,,,69,234,,,,,,,PARTIAL_OR_ERROR
Behnke53,Behnke53,,BehnkeGeiger,10,0,,,67,229,,,,,,,PARTIAL_OR_ERROR
Behnke54,Behnke54,,BehnkeGeiger,10,0,,,68,251,,,,,,,PARTIAL_OR_ERROR
Behnke55,Behnke55,,BehnkeGeiger,10,0,,,69,237,,,,,,,PARTIAL_OR_ERROR
Behnke56,Behnke56,,BehnkeGeiger,10,0,,,70,474,,,,,,,PARTIAL_OR_ERROR
Behnke57,Behnke57,,BehnkeGeiger,10,0,,,74,476,,,,,,,PARTIAL_OR_ERROR
Behnke58,Behnke58,,BehnkeGeiger,10,0,,,67,445,,,,,,,PARTIAL_OR_ERROR
Behnke59,Behnke59,,BehnkeGeiger,10,0,,,70,429,,,,,,,PARTIAL_OR_ERROR
Behnke6,Behnke6,,BehnkeGeiger,10,10,128,135.800,72,117,,,56,11,,,OK
Behnke7,Behnke7,,BehnkeGeiger,10,10,133,136.600,78,119,,,55,14,,,OK
Behnke8,Behnke8,,BehnkeGeiger,10,10,129,140,69,119,,,60,10,,,OK
Behnke9,Behnke9,,BehnkeGeiger,10,10,134,138,70,121,,,64,13,,,OK
BrandimarteMk1,BrandimarteMk1,,Brandimarte,10,10,39,39.600,21,38,,,18,1,,,OK
BrandimarteMk10,BrandimarteMk10,,Brandimarte,10,0,,,107,199,,,,,,,PARTIAL_OR_ERROR
BrandimarteMk11,BrandimarteMk11,,Brandimarte,10,10,718,767.100,128,586,,,590,132,,,OK
BrandimarteMk13,BrandimarteMk13,,Brandimarte,10,2,488,506.500,146,402,,,342,86,,,PARTIAL_OR_ERROR
BrandimarteMk15,BrandimarteMk15,,Brandimarte,10,2,456,456.500,176,328,,,280,128,,,PARTIAL_OR_ERROR
BrandimarteMk2,BrandimarteMk2,,Brandimarte,10,10,28,28.600,17,26,,,11,2,,,OK
BrandimarteMk3,BrandimarteMk3,,Brandimarte,10,10,190,195.600,61,184,,,129,6,,,OK
BrandimarteMk4,BrandimarteMk4,,Brandimarte,10,10,62,64.400,32,56,,,30,6,,,OK
BrandimarteMk5,BrandimarteMk5,,Brandimarte,10,10,177,192.300,58,166,,,119,11,,,OK
BrandimarteMk6,BrandimarteMk6,,Brandimarte,10,10,67,71.500,33,58,,,34,9,,,OK
BrandimarteMk8,BrandimarteMk8,,Brandimarte,10,10,495,520.700,151.444,483,,,343.556,12,,,OK
BrandimarteMk9,BrandimarteMk9,,Brandimarte,10,10,334,380.700,122,287,,,212,47,,,OK
ChambersBarnes1,ChambersBarnes1,,ChambersBarnes,10,10,973,1021.600,601,880,,,372,93,,,OK
ChambersBarnes11,ChambersBarnes11,,ChambersBarnes,10,10,1003,1062.900,649,871,,,354,132,,,OK
ChambersBarnes12,ChambersBarnes12,,ChambersBarnes,10,10,988,1030.500,648,859,,,340,129,,,OK
ChambersBarnes13,ChambersBarnes13,,ChambersBarnes,10,10,1029,1094.800,660,890,,,369,139,,,OK
ChambersBarnes14,ChambersBarnes14,,ChambersBarnes,10,10,982,1046.800,652,874,,,330,108,,,OK
ChambersBarnes15,ChambersBarnes15,,ChambersBarnes,10,10,1376,1491.200,885,1163,,,491,213,,,OK
ChambersBarnes16,ChambersBarnes16,,ChambersBarnes,10,10,1377,1483.200,879,1155,,,498,222,,,OK
ChambersBarnes17,ChambersBarnes17,,ChambersBarnes,10,10,1360,1502.600,873,1153,,,487,207,,,OK
ChambersBarnes18,ChambersBarnes18,,ChambersBarnes,10,10,1382,1491.300,879,1091,,,503,291,,,OK
ChambersBarnes19,ChambersBarnes19,,ChambersBarnes,10,10,1300,1419.900,881,1060,,,419,240,,,OK
ChambersBarnes2,ChambersBarnes2,,ChambersBarnes,10,10,930,1000.100,608,860,,,322,70,,,OK
ChambersBarnes20,ChambersBarnes20,,ChambersBarnes,10,10,1385,1491.200,892,1143,,,493,242,,,OK
ChambersBarnes21,ChambersBarnes21,,ChambersBarnes,10,10,1379,1464.100,882,1094,,,497,285,,,OK
ChambersBarnes3,ChambersBarnes3,,ChambersBarnes,10,10,945,1007.800,599.000,863,,,346.000,82,,,OK
ChambersBarnes4,ChambersBarnes4,,ChambersBarnes,10,10,933,957.800,617,845,,,316,88,,,OK
ChambersBarnes5,ChambersBarnes5,,ChambersBarnes,10,10,855,923.700,597,805,,,258,50,,,OK
ChambersBarnes6,ChambersBarnes6,,ChambersBarnes,10,10,965,1024.700,608,888,,,357,77,,,OK
ChambersBarnes7,ChambersBarnes7,,ChambersBarnes,10,10,935,976.300,606,846,,,329,89,,,OK
ChambersBarnes8,ChambersBarnes8,,ChambersBarnes,10,10,1030,1107.600,649,896,,,381,134,,,OK
ChambersBarnes9,ChambersBarnes9,,ChambersBarnes,10,10,1009,1110.700,646,892,,,363,117,,,OK
DPpaulli10,DPpaulli10,,DPpaulli,10,10,3036,3339.200,1299,2343,,,1737,693,,,OK
DPpaulli11,DPpaulli11,,DPpaulli,10,0,,,1231,1991,,,,,,,PARTIAL_OR_ERROR
DPpaulli12,DPpaulli12,,DPpaulli,10,0,,,1225,1971,,,,,,,PARTIAL_OR_ERROR
DPpaulli13,DPpaulli13,,DPpaulli,10,2,3143,3266,1268,2302,,,1875,841,,,PARTIAL_OR_ERROR
DPpaulli14,DPpaulli14,,DPpaulli,10,0,,,0,2084,,,,,,,PARTIAL_OR_ERROR
DPpaulli16,DPpaulli16,,DPpaulli,10,4,3158,3260.500,1248,2325,,,1910,833,,,PARTIAL_OR_ERROR
DPpaulli17,DPpaulli17,,DPpaulli,10,0,,,1194,2084,,,,,,,PARTIAL_OR_ERROR
DPpaulli2,DPpaulli2,,DPpaulli,10,10,2771,2979.800,1304,2224,,,1467,547,,,OK
DPpaulli3,DPpaulli3,,DPpaulli,10,0,,,1278,2148,,,,,,,PARTIAL_OR_ERROR
DPpaulli4,DPpaulli4,,DPpaulli,10,10,3273,3464.700,1289,2520,,,1984,753,,,OK
DPpaulli5,DPpaulli5,,DPpaulli,10,10,2651,2878.100,1272,2194,,,1379,457,,,OK
DPpaulli6,DPpaulli6,,DPpaulli,10,0,,,1255,2141,,,,,,,PARTIAL_OR_ERROR
DPpaulli7,DPpaulli7,,DPpaulli,10,10,2978,3258.400,1306,2350,,,1672,628,,,OK
DPpaulli8,DPpaulli8,,DPpaulli,10,0,,,1286,2003,,,,,,,PARTIAL_OR_ERROR
Fattahi1,Fattahi1,,Fattahi,10,10,69,69,69,69,,,0,0,,,OK
Fattahi10,Fattahi10,,Fattahi,10,10,507,553,507,507,,,0,0,,,OK
Fattahi11,Fattahi11,,Fattahi,10,10,447,503.300,405,445,,,42,2,,,OK
Fattahi12,Fattahi12,,Fattahi,10,10,428,478.500,372,415.000,,,56,13.000,,,OK
Fattahi13,Fattahi13,,Fattahi,10,10,452,490.600,386,439,,,66,13,,,OK
Fattahi15,Fattahi15,,Fattahi,10,10,475,520,381,472.000,,,94,3.000,,,OK
Fattahi16,Fattahi16,,Fattahi,10,10,600,623.200,596,596,,,4,4,,,OK
Fattahi17,Fattahi17,,Fattahi,10,10,857,874.200,731,827,,,126,30,,,OK
Fattahi18,Fattahi18,,Fattahi,10,10,856,869.700,707,823,,,149,33,,,OK
Fattahi19,Fattahi19,,Fattahi,10,10,1068,1113.700,709,1024,,,359,44,,,OK
Fattahi2,Fattahi2,,Fattahi,10,10,111,111,111.000,111.000,,,0.000,0.000,,,OK
Fattahi3,Fattahi3,,Fattahi,10,10,240,240,240,240,,,0,0,,,OK
Fattahi4,Fattahi4,,Fattahi,10,10,364,364,364,364,,,0,0,,,OK
Fattahi5,Fattahi5,,Fattahi,10,10,117,130,106,117,,,11,0,,,OK
Fattahi6,Fattahi6,,Fattahi,10,10,305,305,305,305,,,0,0,,,OK
Fattahi7,Fattahi7,,Fattahi,10,10,389,419.600,386,386,,,3,3,,,OK
Fattahi8,Fattahi8,,Fattahi,10,10,246,261.500,215,240,,,31,6,,,OK
Fattahi9,Fattahi9,,Fattahi,10,10,199,202.500,199,199,,,0,0,,,OK
Hurinkedata10,Hurinkedata10,,Hurink_edata,10,10,841,934.300,361,741,,,480,100,,,OK
Hurinkedata11,Hurinkedata11,,Hurink_edata,10,10,893,958.600,363,817,,,530,76,,,OK
