layer,source,competition_instance,family,seed,time_limit_sec,makespan,status,returncode,elapsed_sec,lb,ub,stdout_tail,stderr_tail
layer1_competition30,Kacem3,5_Kacem_3_workers,Kacem,1009,1,8,OK,0,3.825,7,7,"makespan=8
3	6 0 w=0	1 0 w=10	0 0 w=11	
3	9 1 w=1	7 1 w=12	7 2 w=11	
5	9 0 w=9	6 1 w=5	3 1 w=13	0 1 w=2	1 2 w=13	
5	7 0 w=6	6 2 w=4	1 1 w=7	0 2 w=14	4 2 w=0	
0	
2	8 0 w=4	4 0 w=8	
4	8 1 w=8	9 2 w=1	8 2 w=0	2 2 w=2	
3	2 0 w=14	2 1 w=2	3 2 w=8	
5	3 0 w=12	5 0 w=7	5 1 w=3	4 1 w=9	5 2 w=6	
0	
","Final solution: 8
Schedule exported to ../../output.csv
"
layer1_competition30,Kacem3,5_Kacem_3_workers,Kacem,1013,1,9,OK,0,3.636,7,7,"makespan=9
4	1 0 w=1	0 0 w=11	6 0 w=0	0 2 w=4	
3	7 1 w=11	7 2 w=0	4 2 w=1	
5	8 0 w=0	3 1 w=3	0 1 w=1	1 2 w=9	6 2 w=6	
0	
3	7 0 w=13	5 1 w=2	5 2 w=11	
5	5 0 w=7	9 0 w=9	4 0 w=12	4 1 w=10	8 2 w=13	
6	3 0 w=11	1 1 w=13	8 1 w=5	9 1 w=4	2 2 w=2	9 2 w=12	
4	2 0 w=14	2 1 w=8	6 1 w=14	3 2 w=8	
0	
0	
","Final solution: 9
Schedule exported to ../../output.csv
"
