source,runs,ok_runs,best,average,lb,ub,best_minus_lb,best_minus_ub,status
DPpaulli15,3,3,3730,3974.667,1221,2071,2509.0,1659.0,OK
Kacem4,3,3,13,13.000,10,11,3.0,2.0,OK
